"ProjectName","RepositoryName","RepositoryId","AlertId","AlertType","Title","Severity","State","Tool","FirstDetectionDate","LastDetectionDate","IntroductionDate","GitRef","Confidence"
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1512","code","Ensure App Service has a minimum number of instances for failover (Ensure App Service has a minimum number of instances for failover)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1511","code","Ensure that Storage Accounts use replication (Ensure that Storage Accounts use replication)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1510","code","Ensure that &#39;HTTP Version&#39; is the latest if used to run the web app (Ensure that &#39;HTTP Version&#39; is the latest if used to run the web app)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1509","code","Ensure the web app has &#39;Client Certificates (Incoming client certificates)&#39; set (Ensure the web app has &#39;Client Certificates (Incoming client certificates)&#39; set)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-002","27785941-a1ad-4c9b-bd5f-3f135bb0c4a4","1508","code","Ensure that Register with Azure Active Directory is enabled on App Service (Ensure that Register with Azure Active Directory is enabled on App Service)","error","active","Checkov","2026-03-30 8:55:54 PM","2026-03-30 8:55:54 PM","2026-03-30 8:55:35 PM","refs/heads/main",
"FinOps","finops-demo-app-003","beed6ea5-7f10-4df4-8fff-ba52a6ea4398","1577","code","Virtual network (VNET) subnets should have Network Security Groups (NSGs) assigned. (Azure.VNET.UseNSGs)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-003","beed6ea5-7f10-4df4-8fff-ba52a6ea4398","1576","code","Public IP addresses deployed with Standard SKU should use availability zones in supported regions for high availability. (Azure.PublicIP.AvailabilityZone)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-003","beed6ea5-7f10-4df4-8fff-ba52a6ea4398","1575","code","Deny outbound management connections from non-management hosts. (Azure.NSG.LateralTraversal)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-003","beed6ea5-7f10-4df4-8fff-ba52a6ea4398","1574","code","Network security groups (NSGs) should avoid rules that allow &quot;any&quot; as an inbound source. (Azure.NSG.AnyInboundSource)","error","active","PSRule","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM",,"refs/heads/main",
"FinOps","finops-demo-app-003","beed6ea5-7f10-4df4-8fff-ba52a6ea4398","1573","code","Unattached public IP address detected (OrphanedPublicIP)","medium","active","custodian-to-sarif","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-003","beed6ea5-7f10-4df4-8fff-ba52a6ea4398","1572","code","Unattached network interface detected (OrphanedNIC)","medium","active","custodian-to-sarif","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
"FinOps","finops-demo-app-003","beed6ea5-7f10-4df4-8fff-ba52a6ea4398","1571","code","Unattached managed disk detected (OrphanedDisk)","medium","active","custodian-to-sarif","2026-03-30 8:55:57 PM","2026-03-30 8:55:57 PM","2026-03-30 8:55:36 PM","refs/heads/main",
